,Geneid,minuslog10pval,SPT5_T0vsSPT5_T15.padj,log2FC
462,Interval_463,1.1735157391486817,0.0670631982069863,-2.8259589182843197
463,Interval_464,0.39575134334847667,0.40202092329238,1.17897362519086
464,Interval_465,0.1537932755019175,0.7017892711457839,0.5646630168786441
465,Interval_466,0.29042781279512775,0.5123564256283679,1.02191438321628
468,Interval_469,0.2614416357138206,0.547719703374362,-0.6242576293915371
469,Interval_470,0.046145757552027676,0.8991957435556001,0.21593753150629502
472,Interval_473,0.07204344610405908,0.8471426631459391,-0.480972792613583
474,Interval_475,0.02704309639896911,0.939630063509792,0.121193073219002
475,Interval_476,0.007941385457380832,0.98188045354563,0.0455693689462761
476,Interval_477,0.184904875336177,0.653273625220252,-0.5737868300154261
479,Interval_480,0.19547306412939405,0.63756862317531,-0.49420247956850893
480,Interval_481,0.02704309639896911,0.939630063509792,-0.115774917642907
481,Interval_482,0.19637362893360327,0.6362479134073871,-0.6925110570765141
482,Interval_483,0.018606540912210923,0.958061656253094,0.0752478910217776
483,Interval_484,0.044322205204403296,0.9029793003825551,0.268888001067474
484,Interval_485,0.0019282240582765096,0.995569941812442,0.005328564765282999
485,Interval_486,0.19637362893360327,0.6362479134073871,0.591381054132522
486,Interval_487,0.02704309639896911,0.939630063509792,-0.16546362852761198
487,Interval_488,0.4630436704177698,0.34431530644753394,1.66650890225695
489,Interval_490,0.06784601098734137,0.855369950044209,0.30675540070077
491,Interval_492,0.10786509684144945,0.780072383658853,0.610401685303585
492,Interval_493,0.05772095966431984,0.8755461453014208,0.500659171993807
493,Interval_494,0.47371875235128086,0.335955107211252,1.1624552889255801
494,Interval_495,0.25582435907584294,0.554850064586082,0.776857961001102
495,Interval_496,0.5984333141527851,0.252096424357202,0.732901243544515
496,Interval_497,0.020114608309392528,0.95474060113581,0.0708947428763756
497,Interval_498,0.16905150420578055,0.677561148960813,-0.6440223549788521
500,Interval_501,0.010042702331154106,0.9771411380957941,0.0576126897568603
502,Interval_503,0.5332197971150864,0.292941029089912,0.924134608572396
503,Interval_504,0.02892133578237304,0.935575120509568,0.25214451514736996
504,Interval_505,0.02704309639896911,0.939630063509792,-0.204467898768958
506,Interval_507,0.0193579316625938,0.9564055074648459,-0.08587062880121801
507,Interval_508,0.13836315344914976,0.727171495458344,-0.750867506515547
508,Interval_509,0.5482714662018111,0.28296227192173806,0.7037249316986741
509,Interval_510,3.3743900173356964,0.000422289207906366,1.6077949606064201
514,Interval_515,0.20607071351325204,0.622198968069923,0.790131601585943
515,Interval_516,0.06784601098734137,0.855369950044209,0.498198695134134
516,Interval_517,0.020944261419027627,0.9529184564231209,-0.131417857127906
517,Interval_518,0.04541562299272432,0.9007087401653159,0.390448273024826
518,Interval_519,0.029616319116492918,0.9340791559744699,0.19680572870085802
519,Interval_520,0.12172538044347371,0.755569849824182,0.507658736873346
520,Interval_521,0.31164406882857343,0.48792821361158506,0.705222042023632
523,Interval_524,1.4490751573370921,0.0355569779702183,-1.2225619836864199
524,Interval_525,1.2304475778831394,0.0588237113833326,-2.03068897614507
525,Interval_526,0.0827141566561589,0.826581809055639,0.29952972710478304
527,Interval_528,0.0827141566561589,0.826581809055639,0.625252202439839
530,Interval_531,1.0013555983278948,0.0996883485941563,1.05759160438549
531,Interval_532,0.889168766866235,0.129071760319382,0.7175597554408291
533,Interval_534,0.05772095966431984,0.8755461453014208,0.452542409562599
534,Interval_535,1.0256134605826104,0.0942728289024988,-1.4127062789054399
535,Interval_536,0.08284113777098355,0.826340164408793,0.5863258728709311
536,Interval_537,1.8618017526338078,0.013746693428383002,1.48463860794833
538,Interval_539,0.009210602862456226,0.979015115488071,-0.0415755888736048
540,Interval_541,0.05639162162570202,0.8782302224815629,0.42238685822492705
541,Interval_542,0.007956479834253941,0.981846327816032,-0.0493114614499182
542,Interval_543,1.1344263483785364,0.0733793147205085,1.64916075102365
543,Interval_544,0.09988664189431806,0.794535594707396,-0.7411028127759591
544,Interval_545,0.3916620765412046,0.405824183420193,-1.08129655248111
545,Interval_546,0.25582435907584294,0.554850064586082,0.978217438593918
546,Interval_547,0.2150711894103786,0.609436990338579,0.966781203117491
547,Interval_548,0.09374072968869235,0.805859389195043,0.525314909513496
550,Interval_551,0.0827141566561589,0.826581809055639,0.42307236332511106
553,Interval_554,0.24025407199353915,0.575103390545968,-0.587188547108631
554,Interval_555,0.2928504955741185,0.509506236692385,-1.00036602452626
555,Interval_556,0.044322205204403296,0.9029793003825551,-0.218892506301946
557,Interval_558,0.05772095966431984,0.8755461453014208,0.44359223548961296
558,Interval_559,0.0515966537836692,0.8879803311415442,-0.405049874483779
559,Interval_560,0.15292578508288315,0.70319247548024,0.8873385573625729
562,Interval_563,0.02704309639896911,0.939630063509792,-0.079011680445724
563,Interval_564,0.030356006917294284,0.9324895919160491,0.19583597426754298
568,Interval_569,0.05772095966431984,0.8755461453014208,-0.46272996533873
569,Interval_570,0.06784601098734137,0.855369950044209,-0.354853255179099
570,Interval_571,0.002340219295442933,0.9946259381510469,-0.0104548171225512
571,Interval_572,0.243997908722988,0.570167017824051,1.16051778926592
572,Interval_573,0.0515966537836692,0.8879803311415442,0.43465053562513395
573,Interval_574,0.25582435907584294,0.554850064586082,0.7438702205763391
574,Interval_575,0.4182009603090602,0.381767575334696,-0.661302104619371
576,Interval_577,0.9919248617027361,0.101876763216231,0.947286701958897
577,Interval_578,0.0045870171116477905,0.9894935848121958,0.0328992316855625
581,Interval_582,0.020944261419027627,0.9529184564231209,0.0740194272591106
583,Interval_584,0.09149126795744358,0.8100442284854141,0.47367434162156
584,Interval_585,0.2248592746368987,0.59585518847283,-0.8519473567823579
585,Interval_586,0.045263839578484455,0.9010235876856959,-0.224961943646406
586,Interval_587,0.06784601098734137,0.855369950044209,0.36209343455041104
588,Interval_589,0.5052730734343364,0.312411438496549,-1.5086194815000702
590,Interval_591,0.500879654120447,0.315587901721253,1.7377066203682
591,Interval_592,0.7824827694261447,0.165012646856227,0.9412486174960091
592,Interval_593,0.08125800670931324,0.829357914188767,-0.45983378641222705
593,Interval_594,0.23936365405284774,0.5762837133656129,-1.01107519465587
594,Interval_595,0.09988664189431806,0.794535594707396,-0.5308163893191961
599,Interval_600,0.08003877604464088,0.8316895102712059,-0.37347141250233895
600,Interval_601,0.4004754485142273,0.39767157696304406,1.2141835926836397
601,Interval_602,0.10436522998326526,0.7863841835811759,-0.744418808098715
602,Interval_603,0.06784601098734137,0.855369950044209,-0.531884326570595
604,Interval_605,0.04541562299272432,0.9007087401653159,0.320506227066907
605,Interval_606,0.3916620765412046,0.405824183420193,-1.49593729855856
606,Interval_607,0.10436522998326526,0.7863841835811759,-0.7653308803899941
607,Interval_608,1.1188976292029682,0.0760505520252032,-0.9364748873025881
609,Interval_610,0.5049432392064152,0.31264879616350605,-1.11864879196648
610,Interval_611,0.029616319116492918,0.9340791559744699,-0.127247476206976
612,Interval_613,0.12318763057930036,0.75303015777882,-1.0084999159494599
614,Interval_615,0.044322205204403296,0.9029793003825551,-0.21737923175106802
615,Interval_616,1.3015903167191414,0.0499355322512203,-1.57820718674187
616,Interval_617,0.06610618217134505,0.858803523968524,0.46031977019112696
617,Interval_618,0.269762162075795,0.5373259781146661,-0.8489479420841171
618,Interval_619,0.029616319116492918,0.9340791559744699,0.209665943301489
619,Interval_620,0.029616319116492918,0.9340791559744699,-0.19987080522035502
622,Interval_623,0.0862565108801204,0.819867156491798,0.444657786016825
623,Interval_624,0.14877185082816327,0.709950630427153,-0.544861582085761
624,Interval_625,0.04993965333325846,0.8913747890286929,0.272758406472951
625,Interval_626,0.3100419137766696,0.4897315530771679,-1.22163209162281
626,Interval_627,0.19547306412939405,0.63756862317531,-0.904999358539879
627,Interval_628,0.02704309639896911,0.939630063509792,-0.14205710657940002
629,Interval_630,0.05122009993462159,0.8887505859473459,-0.4265072524648621
630,Interval_631,0.002340219295442933,0.9946259381510469,-0.00834815858164808
632,Interval_633,0.029616319116492918,0.9340791559744699,-0.150572085935771
634,Interval_635,0.07267231103930825,0.8459168755346569,0.36616301282151403
636,Interval_637,0.2330512554779723,0.584721071233091,-0.551815208763593
637,Interval_638,0.05772095966431984,0.8755461453014208,0.497164485525048
640,Interval_641,0.005121820122851773,0.9882758432152049,-0.039918545365541
642,Interval_643,0.02704309639896911,0.939630063509792,0.0841683125553481
644,Interval_645,1.0013555983278948,0.0996883485941563,0.974515746438256
645,Interval_646,0.09988664189431806,0.794535594707396,-0.6689467529448211
646,Interval_647,0.044322205204403296,0.9029793003825551,0.148054259517914
647,Interval_648,0.0045870171116477905,0.9894935848121958,0.0317152385962145
648,Interval_649,0.0827141566561589,0.826581809055639,0.592263691646457
649,Interval_650,0.25209337000868004,0.559637270806032,0.670042420582447
653,Interval_654,0.26308676751933735,0.54564883523985,-1.2411505392509599
655,Interval_656,0.10436522998326526,0.7863841835811759,0.544016654445201
658,Interval_659,0.09988664189431806,0.794535594707396,-0.5234496621493
659,Interval_660,0.38471237946281545,0.412370529628525,-0.891680077337432
660,Interval_661,0.02142220992069843,0.9518703302177169,-0.0784315633973545
663,Interval_664,0.04541562299272432,0.9007087401653159,0.202486436444272
664,Interval_665,0.0827141566561589,0.826581809055639,-0.650662835130626
666,Interval_667,0.05182329600642008,0.887517047954534,0.278449234299485
667,Interval_668,0.06784601098734137,0.855369950044209,0.508419922876747
668,Interval_669,0.02704309639896911,0.939630063509792,0.154146532850155
673,Interval_674,1.9308880369861967,0.0117249760158903,1.33982612440221
674,Interval_675,3.057848455979755,0.000875289147968362,2.2268748798432596
675,Interval_676,0.11743689341911376,0.763067763164432,0.6225926220901099
676,Interval_677,0.19547306412939405,0.63756862317531,0.92251576383707
